CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,-4,-11,-18,-5,-14,-20,100,87,78,1022,1021,1020,24,20,1,16,11,,0.00,5,Rain-Snow,231<br />
2001-1-2,0,-5,-10,-1,-7,-12,100,90,80,1024,1022,1019,24,17,0,19,11,,0.00,4,Fog-Snow,233<br />
2001-1-3,1,-4,-10,-1,-7,-12,93,85,75,1020,1015,1005,24,24,24,23,11,,0.00,6,,203<br />
2001-1-4,4,0,-6,-1,-4,-9,86,73,65,1015,1009,1004,24,24,24,45,27,61,0.00,3,,293<br />
2001-1-5,2,-4,-10,0,-6,-12,93,83,64,1016,1005,995,24,24,24,27,18,35,0.00,6,Rain-Snow,219<br />
2001-1-6,2,0,-2,0,-1,-4,93,86,80,1018,1010,1002,24,24,24,29,19,,0.00,6,Rain-Snow,304<br />
2001-1-7,-3,-8,-13,-5,-9,-14,100,88,74,1023,1021,1019,24,24,24,23,14,,0.00,1,,238<br />
2001-1-8,-2,-7,-11,-8,-10,-12,93,80,59,1018,1012,1006,24,24,24,23,14,29,0.00,1,,184<br />
2001-1-9,-2,-6,-10,-6,-9,-12,86,79,74,1009,1006,1004,24,24,24,26,16,,0.00,4,,238<br />
2001-1-10,-3,-9,-14,-7,-11,-16,100,86,74,1014,1012,1010,24,18,2,11,6,,0.00,2,,154<br />
2001-1-11,-7,-11,-15,-9,-13,-17,100,91,85,1019,1015,1012,24,10,0,11,6,,0.00,3,Fog,240<br />
2001-1-12,-9,-14,-19,-10,-14,-20,100,93,85,1027,1023,1020,24,15,2,34,14,35,0.00,5,Snow,14<br />
2001-1-13,-9,-12,-14,-10,-13,-15,100,92,85,1029,1028,1027,24,19,5,21,14,,0.00,8,Snow,77<br />
2001-1-14,-11,-16,-20,-13,-17,-21,100,91,85,1028,1027,1026,24,21,10,11,5,,0.00,6,Snow,269<br />
2001-1-15,-9,-10,-11,-10,-12,-13,93,89,79,1031,1030,1028,24,11,0,14,8,,0.00,8,Fog-Snow,340<br />
2001-1-16,-6,-10,-14,-8,-12,-15,100,88,85,1031,1024,1015,24,21,10,29,14,34,0.00,7,Snow,219<br />
2001-1-17,-1,-4,-7,-3,-6,-9,86,83,80,1023,1017,1013,24,24,24,37,23,47,0.00,6,,310<br />
2001-1-18,-6,-8,-9,-8,-9,-10,93,88,80,1029,1027,1023,24,24,19,29,14,,0.00,8,Snow,187<br />
2001-1-19,-7,-11,-15,-9,-12,-17,100,91,79,1026,1018,1014,24,23,6,26,16,,0.00,3,,222<br />
2001-1-20,-3,-10,-16,-6,-12,-17,100,89,79,1024,1021,1015,24,23,16,19,13,,0.00,2,,260<br />
2001-1-21,-3,-10,-15,-6,-11,-16,100,88,79,1022,1020,1017,24,24,16,16,11,,0.00,4,Snow,220<br />
2001-1-22,1,-7,-14,0,-8,-16,100,83,74,1026,1022,1017,24,24,24,27,21,34,0.00,2,,265<br />
2001-1-23,-7,-13,-19,-10,-15,-19,100,89,79,1034,1030,1026,24,24,16,14,8,,0.00,0,Fog,246<br />
2001-1-24,-6,-12,-19,-10,-15,-27,93,83,50,1033,1024,1012,24,22,11,23,13,,0.00,1,,182<br />
2001-1-25,-3,-9,-14,-6,-12,-16,93,86,79,1024,1015,1009,24,24,24,26,18,,0.00,1,,304<br />
2001-1-26,-9,-14,-19,-10,-15,-20,100,93,85,1027,1023,1015,24,20,6,24,13,,0.00,4,Snow,226<br />
2001-1-27,-6,-11,-16,-8,-11,-17,93,85,74,1021,1018,1015,24,24,24,26,16,,0.00,4,,248<br />
2001-1-28,-5,-8,-11,-8,-11,-13,93,84,74,1014,1009,1006,24,23,16,21,16,,0.00,6,,215<br />
2001-1-29,-3,-8,-13,-8,-11,-15,100,87,69,1007,1003,999,24,22,13,19,8,,0.00,4,,164<br />
2001-1-30,-2,-8,-13,-7,-10,-14,93,78,68,1010,1007,1002,24,23,13,39,19,48,0.00,2,,277<br />
2001-1-31,-5,-16,-27,-8,-20,-31,86,73,55,1033,1023,1010,24,19,1,35,21,39,0.00,5,Snow,2<br />
2001-2-1,-9,-19,-28,-10,-23,-32,93,72,61,1034,1026,1013,24,22,2,29,13,,0.00,5,Snow,182<br />
2001-2-2,-1,-6,-11,-5,-8,-12,100,88,74,1012,1008,1004,24,21,5,21,13,,0.00,5,Fog-Rain-Snow,220<br />
2001-2-3,2,-3,-9,-3,-6,-11,93,81,65,1017,1012,1005,24,22,13,26,16,,0.00,4,Rain,282<br />
2001-2-4,-2,-7,-11,-8,-11,-14,86,76,64,1019,1017,1015,24,24,24,23,18,,0.00,3,,257<br />
