CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,-8,-12,-16,-8,-11,-16,100,98,92,1032,1030,1028,16,16,11,11,5,,0.00,1,,335<br />
2001-1-2,-11,-16,-21,-12,-16,-21,100,96,85,1035,1033,1029,16,10,1,24,5,,0.00,0,Fog-Snow,215<br />
2001-1-3,0,-6,-12,-1,-6,-13,100,97,86,1022,1017,1014,16,9,2,32,23,42,0.00,8,Snow,251<br />
2001-1-4,-1,-4,-8,-2,-5,-8,100,98,86,1019,1013,1000,16,10,4,40,16,58,0.00,6,,214<br />
2001-1-5,3,-1,-5,2,-2,-8,100,82,65,1010,1002,997,16,16,11,27,16,39,0.00,3,,295<br />
2001-1-6,2,-3,-7,2,-6,-8,100,87,74,1010,1004,1000,16,16,16,26,10,34,0.00,4,,210<br />
2001-1-7,3,-1,-4,2,-3,-7,100,84,74,1015,1010,1004,16,16,16,24,11,35,0.00,7,,316<br />
2001-1-8,-5,-9,-12,-6,-9,-12,100,94,80,1022,1019,1016,16,15,2,21,6,,0.00,2,Snow,358<br />
2001-1-9,-6,-12,-18,-10,-14,-18,100,88,68,1025,1023,1021,16,12,5,26,6,27,0.00,0,Snow,236<br />
2001-1-10,1,-6,-12,-4,-9,-13,93,82,69,1019,1017,1014,11,9,5,26,18,,0.00,0,,209<br />
2001-1-11,1,-3,-7,-2,-4,-7,100,87,75,1018,1017,1016,8,6,2,14,8,,0.00,1,,186<br />
2001-1-12,1,-3,-6,-1,-3,-6,100,94,87,1023,1021,1019,5,3,0,10,3,,0.00,7,Fog,203<br />
2001-1-13,1,0,0,0,-1,-1,100,91,87,1022,1021,1019,11,5,2,16,11,,0.00,8,,179<br />
2001-1-14,1,0,0,1,0,-1,100,94,87,1016,1012,1010,8,3,0,27,18,37,4.06,8,Fog-Rain-Snow,122<br />
2001-1-15,1,0,-1,0,-1,-1,100,95,87,1013,1010,1009,16,6,1,19,8,,0.00,8,Fog-Snow,257<br />
2001-1-16,-1,-2,-3,-3,-4,-6,86,84,80,1024,1021,1016,16,16,16,19,11,29,0.00,8,,297<br />
2001-1-17,-5,-7,-8,-7,-9,-11,93,83,74,1025,1023,1020,16,11,8,16,10,,0.00,6,Snow,256<br />
2001-1-18,-4,-9,-13,-7,-10,-14,93,87,80,1017,1013,1011,16,10,6,26,16,34,0.00,3,,222<br />
2001-1-19,-5,-9,-14,-7,-13,-17,93,75,62,1025,1021,1015,16,14,6,32,18,42,0.00,5,Snow,6<br />
2001-1-20,-9,-13,-18,-14,-17,-19,92,80,67,1024,1022,1021,16,16,16,19,8,,0.00,0,,234<br />
2001-1-21,-7,-12,-18,-11,-16,-20,92,81,68,1028,1024,1021,16,14,6,13,6,,0.00,2,Snow,265<br />
2001-1-22,-6,-12,-18,-9,-14,-19,93,86,74,1028,1026,1022,16,8,4,24,6,,0.00,0,Snow,189<br />
2001-1-23,-2,-6,-8,-6,-7,-9,100,87,74,1021,1020,1019,11,8,2,16,13,27,0.00,5,,255<br />
2001-1-24,-4,-8,-11,-8,-10,-13,93,81,54,1026,1020,1017,16,13,3,27,11,39,0.00,5,Snow,310<br />
2001-1-25,-6,-12,-17,-12,-15,-19,92,78,63,1030,1028,1024,16,16,16,16,8,,0.00,0,,229<br />
2001-1-26,-4,-7,-9,-6,-9,-12,93,85,79,1019,1011,1005,16,11,1,23,16,26,0.00,5,Snow,201<br />
2001-1-27,-7,-11,-14,-11,-14,-17,85,73,58,1025,1022,1016,16,16,16,29,14,29,0.00,0,,274<br />
2001-1-28,-7,-11,-15,-10,-13,-16,92,83,74,1025,1023,1022,16,14,11,19,10,,0.00,0,,206<br />
2001-1-29,1,-4,-8,1,-3,-9,100,94,86,1020,1012,1000,8,5,2,35,11,45,2.29,8,Rain,111<br />
2001-1-30,2,1,0,2,-1,-1,100,90,81,996,994,993,16,12,4,27,14,35,0.00,8,,131<br />
2001-1-31,1,-1,-2,-1,-2,-5,93,88,75,1010,1004,999,16,12,3,24,14,26,0.00,8,Snow,271<br />
2001-2-1,-6,-10,-13,-8,-12,-21,93,78,49,1019,1016,1013,16,15,11,35,14,42,0.00,3,,250<br />
2001-2-2,-13,-17,-20,-18,-21,-23,78,71,62,1025,1023,1021,16,16,16,21,14,32,0.00,0,,271<br />
2001-2-3,-6,-11,-15,-8,-13,-18,92,82,72,1022,1018,1015,16,13,3,24,16,29,0.00,8,Snow,175<br />
2001-2-4,-2,-3,-4,-3,-4,-6,100,92,86,1016,1013,1011,8,5,2,16,6,,0.00,8,Snow,4<br />
2001-2-5,-3,-4,-6,-6,-7,-7,93,85,74,1015,1013,1010,16,10,6,21,10,,0.00,7,Snow,243<br />
2001-2-6,-3,-4,-6,-6,-7,-8,93,85,74,1019,1014,1010,16,9,6,21,11,27,0.00,6,,295<br />
2001-2-7,-2,-9,-16,-3,-10,-17,100,89,80,1026,1024,1022,11,4,0,23,3,29,0.00,6,Fog-Snow,85<br />
2001-2-8,1,0,-1,1,1,-1,100,99,93,1019,1015,1011,16,5,1,23,14,,4.32,8,Fog-Rain,89<br />
2001-2-9,0,-1,-1,0,-1,-1,100,99,93,1009,1004,1002,16,6,1,24,16,39,16.00,8,Rain,347<br />
2001-2-10,-12,-13,-15,-17,-18,-19,73,70,62,1033,1028,1020,16,16,16,19,13,29,0.00,0,,292<br />
2001-2-11,-4,-11,-18,-8,-15,-20,85,79,68,1037,1035,1031,16,16,16,21,5,,0.00,3,,79<br />
2001-2-12,-2,-6,-8,-4,-7,-10,93,82,74,1027,1024,1022,16,15,11,23,14,27,0.00,7,,190<br />
2001-2-13,-1,-2,-3,-2,-4,-6,93,88,74,1026,1024,1020,16,8,2,21,6,,0.00,8,,194<br />
2001-2-14,0,-3,-6,-1,-4,-9,100,90,74,1017,1015,1014,16,6,0,24,10,34,0.00,8,Fog-Snow,341<br />
2001-2-15,-3,-7,-11,-6,-11,-13,86,78,68,1019,1018,1017,16,16,11,14,6,,0.00,8,,40<br />
2001-2-16,-4,-8,-12,-5,-12,-19,93,69,49,1026,1021,1017,16,13,3,26,13,37,0.00,3,,288<br />
2001-2-17,-11,-14,-18,-19,-22,-23,72,60,44,1034,1032,1029,16,16,16,21,14,34,0.00,0,,290<br />
2001-2-18,-8,-13,-19,-13,-18,-22,79,72,63,1031,1029,1022,16,16,16,29,16,35,0.00,2,Snow,222<br />
