EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,-6,-8,-10,-10,-13,-14,79,75,68,1024,1020,1009,32,22,13,37,26,34,0.00,6,Snow,256<br />
2001-1-2,-10,-13,-14,-13,-15,-16,85,79,73,1026,1024,1023,24,22,13,34,19,34,0.00,7,Snow,253<br />
2001-1-3,-2,-7,-11,-6,-9,-13,93,80,64,1022,1017,1011,24,17,3,24,10,32,0.00,8,Snow,212<br />
2001-1-4,-4,-9,-15,-7,-11,-17,86,78,62,1012,1010,1008,24,13,3,26,21,35,0.00,6,Snow,256<br />
2001-1-5,-6,-11,-16,-9,-13,-18,93,82,73,1012,1004,999,24,12,1,26,14,27,0.00,7,Snow,43<br />
2001-1-6,-3,-6,-8,-5,-7,-10,93,86,74,1007,1003,1000,24,9,3,19,14,,0.00,8,Snow,13<br />
2001-1-7,-3,-4,-6,-6,-8,-9,93,82,64,1012,1010,1007,24,14,4,13,6,,0.00,7,Snow,238<br />
2001-1-8,-4,-6,-6,-7,-8,-8,86,83,80,1012,1011,1011,16,8,1,26,13,,0.00,8,Snow,19<br />
2001-1-9,-5,-10,-15,-7,-14,-18,93,80,72,1011,1008,1004,24,13,1,35,16,45,0.00,7,Snow,267<br />
2001-1-10,-11,-16,-19,-15,-19,-22,85,71,57,1018,1015,1007,32,26,24,24,13,,0.00,2,,254<br />
2001-1-11,-2,-7,-11,-5,-11,-15,93,74,54,1019,1012,1008,32,12,3,47,13,40,0.00,6,Snow,283<br />
2001-1-12,-8,-11,-15,-14,-16,-17,92,73,62,1028,1025,1019,32,25,24,19,11,,0.00,2,,247<br />
2001-1-13,-5,-10,-14,-8,-12,-16,92,80,73,1028,1026,1023,32,21,13,16,6,,0.00,7,,205<br />
2001-1-14,1,-3,-7,-3,-7,-15,86,73,54,1028,1025,1022,24,18,13,26,13,34,0.00,7,,310<br />
2001-1-15,-8,-10,-11,-10,-13,-16,86,76,58,1027,1020,1011,24,10,1,37,26,37,0.00,8,Snow,41<br />
2001-1-16,-2,-6,-8,-5,-7,-9,93,84,69,1017,1011,1008,24,8,1,24,13,,0.00,8,Snow,320<br />
2001-1-17,-6,-11,-16,-10,-14,-18,86,78,67,1025,1022,1017,24,14,1,16,11,,0.00,6,Snow,269<br />
2001-1-18,-9,-14,-20,-11,-16,-24,86,82,71,1025,1021,1016,24,11,3,19,8,,0.00,4,Fog-Snow,24<br />
2001-1-19,0,-5,-12,-3,-8,-17,93,80,62,1020,1014,1011,24,13,4,23,8,,0.00,7,Snow,307<br />
