AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,1,-1,-2,-1,-3,-5,93,83,75,1013,1001,993,24,19,3,40,23,52,0.00,7,Snow,272<br />
2001-1-2,-1,-4,-7,-5,-6,-8,93,82,69,1016,1014,1013,24,24,24,19,11,,0.00,4,Snow,295<br />
2001-1-3,-3,-7,-9,-6,-10,-12,93,78,63,1018,1015,1012,24,23,19,24,13,27,0.00,5,Snow,331<br />
2001-1-4,0,-5,-10,0,-7,-11,100,88,69,1017,1012,1006,24,13,1,27,13,34,0.00,8,Snow,165<br />
2001-1-5,-1,-6,-9,-1,-7,-10,100,87,69,1011,1008,1005,24,21,2,14,10,,0.00,5,Snow,285<br />
2001-1-6,1,-4,-8,1,-5,-9,100,91,86,1011,1004,991,24,12,1,32,18,48,0.00,7,Rain-Snow,92<br />
2001-1-7,0,-2,-3,0,-3,-6,100,94,80,1004,992,985,24,4,1,32,21,45,0.00,8,Rain-Snow,331<br />
2001-1-8,-2,-3,-4,-3,-6,-8,100,82,69,1013,1011,1005,24,22,10,16,10,,0.00,7,Snow,305<br />
2001-1-9,-3,-4,-6,-3,-4,-6,100,99,93,1008,1002,997,24,15,1,14,3,,0.00,7,Snow,19<br />
2001-1-10,-5,-7,-9,-5,-7,-10,100,97,86,1007,1000,995,24,12,1,27,13,40,0.00,6,Snow,352<br />
2001-1-11,-4,-8,-12,-5,-9,-13,100,93,80,1009,1005,1001,24,19,3,29,13,29,0.00,5,Snow,264<br />
2001-1-12,-6,-9,-12,-8,-11,-13,100,91,80,1021,1011,1002,24,15,1,27,23,39,0.00,4,Snow,330<br />
2001-1-13,-7,-12,-16,-10,-14,-17,92,81,63,1026,1024,1021,24,24,24,19,13,,0.00,2,,307<br />
