EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,-6,-11,-16,-8,-11,-18,100,84,73,1029,1026,1022,24,22,3,21,11,,0.00,6,Snow,297<br />
2001-1-2,-5,-9,-13,-8,-11,-14,93,85,68,1033,1030,1029,24,19,3,24,10,29,0.00,4,Snow,270<br />
2001-1-3,-7,-10,-13,-8,-12,-18,100,87,49,1028,1020,1014,24,8,1,39,18,52,0.00,5,Snow,227<br />
2001-1-4,-3,-6,-7,-5,-7,-9,93,85,74,1017,1015,1008,24,14,2,29,18,40,0.00,8,Snow,242<br />
2001-1-5,1,-2,-4,0,-2,-5,100,94,86,1007,998,994,16,4,1,39,26,50,0.00,8,Snow,243<br />
2001-1-6,-2,-3,-5,-3,-6,-7,93,83,69,1008,1006,1002,19,13,2,24,16,37,0.00,8,Snow,251<br />
2001-1-7,-1,-2,-3,-1,-3,-5,100,91,80,1010,1007,1004,16,5,1,13,10,,0.00,8,Snow,237<br />
2001-1-8,-3,-8,-14,-4,-11,-16,93,83,73,1017,1014,1011,24,24,19,21,11,27,0.00,3,Fog,340<br />
2001-1-9,-5,-12,-17,-8,-13,-19,93,85,73,1020,1017,1014,24,21,3,26,11,35,0.00,3,Fog-Snow,269<br />
2001-1-10,-1,-6,-9,-6,-8,-10,93,80,69,1019,1017,1015,24,20,16,27,18,34,0.00,2,,236<br />
2001-1-11,1,-2,-5,-2,-4,-7,93,85,74,1021,1019,1015,24,11,3,24,13,34,0.00,6,,260<br />
2001-1-12,-1,-4,-7,-2,-4,-8,100,93,86,1026,1024,1021,5,3,1,16,8,,0.00,7,Fog,79<br />
2001-1-13,0,-3,-6,0,-3,-6,100,99,93,1027,1025,1025,8,2,0,16,6,,0.00,8,Fog,225<br />
2001-1-14,1,0,-1,0,-2,-2,100,93,81,1025,1021,1018,8,3,0,24,11,,0.00,8,Fog,105<br />
2001-1-15,2,1,0,2,1,0,100,97,93,1017,1013,1010,6,2,0,24,16,32,0.00,8,Fog-Rain-Snow,194<br />
2001-1-16,1,0,-1,0,-1,-2,100,93,87,1022,1016,1012,16,8,1,23,18,29,0.00,8,Snow,269<br />
2001-1-17,-1,-3,-4,-2,-4,-6,93,89,86,1024,1023,1021,24,10,2,21,13,,0.00,8,Snow,270<br />
2001-1-18,-2,-3,-3,-3,-4,-5,100,88,86,1022,1018,1014,16,11,6,27,16,35,0.00,8,Snow,220<br />
2001-1-19,-2,-8,-13,-3,-7,-16,93,86,73,1022,1016,1013,24,13,2,26,8,35,0.00,7,Snow,318<br />
2001-1-20,-9,-14,-19,-16,-18,-21,92,70,41,1024,1022,1020,24,24,24,14,8,,0.00,1,,354<br />
2001-1-21,-6,-9,-12,-8,-11,-16,93,83,73,1029,1024,1020,24,17,10,24,11,34,0.00,6,Snow,259<br />
