PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,9,6,2,6,4,2,100,87,71,1029,1026,1023,16,16,11,21,6,,0.00,6,,76<br />
2001-1-2,12,8,4,5,3,-1,100,76,53,1027,1025,1023,16,12,0,27,10,,0.00,7,Fog,152<br />
2001-1-3,9,7,5,7,4,-1,100,81,52,1026,1025,1022,16,13,6,19,10,,9.14,8,Rain,172<br />
2001-1-4,12,9,7,10,8,4,100,94,57,1025,1020,1013,16,8,1,23,6,,15.24,8,Fog-Rain,150<br />
2001-1-5,11,8,5,8,7,4,96,89,80,1026,1021,1014,16,15,6,42,24,61,5.33,6,Rain,201<br />
2001-1-6,8,6,3,5,3,-1,100,90,70,1026,1023,1015,16,13,2,27,13,,0.00,4,Fog,17<br />
2001-1-7,13,7,1,8,-3,-7,89,46,26,1015,1009,1004,16,16,16,27,14,,0.00,6,Rain,115<br />
2001-1-8,10,7,3,7,4,-2,100,80,43,1014,1010,1004,16,15,8,23,11,,1.27,6,Rain,169<br />
2001-1-9,9,4,1,5,2,-1,100,84,50,1014,1005,999,16,15,8,24,8,42,0.76,7,Rain,147<br />
2001-1-10,11,8,5,6,3,-1,93,72,44,1011,1007,1003,16,16,16,34,14,42,0.00,7,Rain,88<br />
2001-1-11,9,7,6,5,3,-1,92,79,50,1013,1008,1004,16,16,16,21,13,,0.00,7,Rain,18<br />
2001-1-12,7,6,4,5,4,4,100,91,81,1017,1016,1013,16,15,8,14,5,,0.00,8,Rain,174<br />
2001-1-13,4,3,3,4,3,2,100,95,87,1023,1019,1017,16,13,10,16,8,,1.52,8,Rain,182<br />
2001-1-14,5,4,3,3,3,2,100,96,86,1032,1029,1024,16,9,3,13,6,,0.25,8,Rain,183<br />
2001-1-15,5,2,-1,4,1,-1,100,95,76,1033,1032,1031,16,9,0,16,6,,0.00,6,Fog,29<br />
2001-1-16,3,0,-2,1,0,-2,100,97,79,1031,1029,1028,16,3,0,13,3,,0.00,7,Fog,63<br />
2001-1-17,4,1,-2,3,1,-2,100,97,82,1031,1030,1028,14,7,0,11,5,,2.03,8,Fog-Rain,151<br />
2001-1-18,6,5,4,6,5,3,100,99,89,1028,1024,1022,13,5,2,19,6,,4.06,8,Rain,145<br />
2001-1-19,9,6,3,6,4,1,100,90,71,1024,1022,1021,16,13,3,23,11,,1.02,7,Rain,177<br />
2001-1-20,9,6,3,3,1,-2,86,67,50,1022,1020,1019,16,16,13,23,11,,0.25,8,Rain,120<br />
2001-1-21,7,6,4,7,6,2,100,98,79,1025,1021,1016,14,4,0,23,10,,19.30,8,Fog-Rain,49<br />
2001-1-22,12,6,1,6,2,-2,100,83,44,1025,1022,1017,16,8,0,26,8,35,0.00,3,Fog,45<br />
2001-1-23,13,10,8,-1,-2,-3,48,43,38,1016,1013,1012,16,16,16,35,21,45,0.00,5,,113<br />
2001-1-24,9,7,3,6,4,-2,100,91,46,1017,1015,1013,16,15,5,14,8,,0.25,8,Rain,189<br />
2001-1-25,9,4,-1,3,1,-4,100,77,46,1018,1015,1013,16,15,10,23,8,,0.00,6,,51<br />
2001-1-26,9,6,2,0,-2,-4,86,63,49,1024,1021,1017,16,16,16,24,14,,0.00,1,,16<br />
2001-1-27,6,2,-1,0,0,-2,100,84,65,1026,1023,1019,16,11,5,11,5,,0.00,3,Fog,71<br />
2001-1-28,6,2,-1,0,-1,-5,100,85,49,1018,1013,1007,16,9,0,16,6,,4.06,6,Fog-Rain,151<br />
2001-1-29,8,6,3,3,1,0,87,75,59,1029,1017,1005,16,16,8,37,21,53,2.29,6,Rain,215<br />
2001-1-30,7,6,4,5,3,2,93,86,79,1029,1027,1026,16,15,5,32,23,42,0.25,8,Rain,198<br />
2001-1-31,8,6,4,5,4,3,97,84,71,1031,1029,1026,16,16,16,24,14,,0.00,7,,194<br />
2001-2-1,10,7,3,3,1,0,97,70,50,1025,1022,1018,16,15,11,23,8,40,1.52,7,Rain,181<br />
2001-2-2,9,7,4,6,4,3,100,83,71,1029,1023,1018,16,14,3,27,16,47,7.37,7,Rain,209<br />
2001-2-3,8,6,3,4,3,1,98,82,63,1031,1028,1024,16,15,8,19,11,,4.06,7,Rain,175<br />
2001-2-4,11,7,4,7,6,4,100,90,71,1023,1021,1019,16,13,3,29,14,42,9.65,8,Rain,197<br />
2001-2-5,7,6,3,5,2,0,89,80,63,1027,1025,1021,16,16,13,26,16,37,0.00,8,Rain,190<br />
2001-2-6,5,3,0,2,-2,-9,100,73,39,1024,1021,1020,16,15,5,26,10,42,0.25,6,Rain,359<br />
2001-2-7,4,1,-3,-4,-6,-7,85,65,51,1026,1024,1022,16,16,16,16,8,,0.00,2,,142<br />
2001-2-8,2,1,-1,0,-1,-5,100,89,64,1021,1016,1012,16,8,1,19,8,,6.86,8,Rain-Snow,158<br />
2001-2-9,8,5,2,-1,-3,-5,70,59,47,1013,1012,1010,16,16,16,21,14,,0.00,6,,74<br />
2001-2-10,8,3,-1,-4,-5,-6,79,56,42,1009,1006,1003,16,16,16,23,13,,0.00,4,,130<br />
2001-2-11,9,4,1,1,-2,-5,89,66,49,1014,1010,1006,16,16,16,23,14,29,0.00,2,,17<br />
2001-2-12,8,3,-1,1,-1,-2,96,75,53,1022,1019,1015,16,16,13,14,10,,0.00,4,,42<br />
2001-2-13,8,3,-1,1,-1,-2,96,78,56,1022,1021,1020,16,15,10,19,8,,0.00,3,,17<br />
2001-2-14,7,3,-1,4,1,-2,96,84,65,1021,1016,1012,16,15,10,19,8,27,0.00,6,Rain,175<br />
2001-2-15,6,2,-1,4,1,-3,100,86,62,1016,1014,1012,16,12,2,26,14,,4.32,7,Rain-Snow,337<br />
2001-2-16,4,1,-1,2,1,-1,100,94,82,1022,1019,1014,16,9,1,21,13,,11.18,7,Fog-Rain-Snow,32<br />
2001-2-17,9,5,1,2,0,-2,96,74,51,1021,1015,1010,16,16,16,24,14,,1.52,7,Rain,47<br />
2001-2-18,10,7,3,5,3,2,100,86,63,1017,1015,1010,16,15,10,21,8,,1.78,6,Fog-Rain,170<br />
2001-2-19,11,6,2,3,2,1,100,81,61,1016,1013,1011,16,16,11,21,11,,0.00,2,,8<br />
2001-2-20,12,7,2,3,1,-1,97,69,45,1016,1015,1014,16,16,11,13,8,,0.00,4,,28<br />
2001-2-21,12,9,5,7,4,0,100,80,50,1017,1016,1014,16,15,8,13,5,,3.30,8,Rain,170<br />
2001-2-22,10,7,3,6,5,3,100,92,68,1017,1014,1012,16,11,1,23,8,,0.00,6,Fog,10<br />
2001-2-23,8,5,2,4,4,2,100,91,76,1013,1011,1008,16,9,0,19,6,,0.00,7,Fog-Rain,197<br />
2001-2-24,9,6,3,4,3,0,100,85,54,1011,1008,1008,16,16,16,13,6,,0.00,6,Rain,144<br />
2001-2-25,9,6,2,3,1,-1,97,77,50,1027,1020,1011,16,16,13,19,11,,0.00,3,,13<br />
2001-2-26,9,4,-1,2,1,-2,96,79,54,1029,1028,1027,16,15,10,23,10,,0.00,3,,13<br />
2001-2-27,12,7,1,2,0,-3,100,68,40,1028,1025,1020,16,16,10,19,11,,0.00,4,,25<br />
2001-2-28,10,6,1,3,0,-3,89,69,46,1020,1017,1015,16,16,16,24,6,,0.00,3,,148<br />
2001-3-1,7,4,2,6,3,-1,93,85,63,1014,1007,1002,16,14,8,40,13,55,5.84,7,Rain,189<br />
2001-3-2,7,4,2,3,2,1,96,87,65,1017,1013,1009,16,16,14,24,18,42,0.00,6,Rain,197<br />
